觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2010-06-10-23,1008.2,1008.9,25.2,24,93,0,0,1.9,90,T,0.7,N/A,0,10,0,9
2010-06-10-24,1007.4,1008.1,25,24,94,0.9,200,1.9,200,0,0,N/A,0,N/A,0,N/A
2010-06-11-01,1006.7,1007.4,24.7,23.9,95,0.8,160,2.1,140,0,0,N/A,0,N/A,0,N/A
2010-06-11-02,1006.3,1007,24.8,23.7,94,1.3,230,2.8,250,0.4,0.9,N/A,0,8,0,10
2010-06-11-03,1006.3,1007,24.7,23.7,94,1.3,240,2.9,260,0.5,1,N/A,0,N/A,0,N/A
2010-06-11-04,1006.5,1007.2,24.6,23.3,92,0.8,230,4.7,250,2.5,1,N/A,0,N/A,0,N/A
2010-06-11-05,1006.7,1007.4,24.3,23.1,93,1.1,270,4,270,2,1,N/A,0,3,0,10
2010-06-11-06,1007.2,1007.9,24.2,23.2,94,1,250,2.5,270,1,1,0,0,N/A,0,N/A
2010-06-11-07,1007.4,1008.1,24.4,23.2,93,0.9,260,2.7,280,1,1,0,0,N/A,0,N/A
2010-06-11-08,1007.8,1008.5,24.6,23.3,92,1.5,280,3.2,300,0.5,1,0,0.17,1.2,1,10
2010-06-11-09,1008.1,1008.8,24.8,23.4,92,1.9,280,5,290,1,0.9,0,0.27,8,1,10
2010-06-11-10,1008.3,1009,24,22.7,92,1.8,290,5.8,310,0.1,0.5,0,0.02,N/A,1,10
2010-06-11-11,1008.5,1009.2,24.3,22.7,91,2.9,280,7.5,300,1.5,1,0,0.82,7,3,10
2010-06-11-12,1008.4,1009.1,24.1,22,88,2.4,260,6.6,280,T,1,0,0.34,N/A,2,10
2010-06-11-13,1008.3,1009,23.9,21.8,88,2,290,6,300,0.5,1,0,0.22,N/A,1,10
2010-06-11-14,1008.1,1008.8,24.1,22,88,1.8,230,5.3,280,T,1,0,0.49,3,2,10
2010-06-11-15,1007.7,1008.4,24.4,21.6,84,1.6,270,4.8,270,T,0.8,0,0.12,N/A,1,10
2010-06-11-16,1007.4,1008.1,24.6,21.9,85,1.5,220,5,270,0,0,0,0.4,N/A,1,10
2010-06-11-17,1007.5,1008.2,24.5,21.7,84,1.5,230,3.7,210,0,0,0,0,4,0,10
2010-06-11-18,1007.9,1008.6,24.2,21.9,87,1.5,180,3.4,170,0,0,0,0,N/A,0,N/A
2010-06-11-19,1008.3,1009,24,21.7,87,0.9,180,3.1,200,0,0,0,0,N/A,0,N/A
2010-06-11-20,1008.7,1009.4,24.2,21.5,85,1.1,160,2.5,150,0,0,N/A,0,4,0,10
2010-06-11-21,1009.2,1009.9,24.1,21.6,86,1.1,210,2.4,160,T,0.2,N/A,0,4,0,10
2010-06-11-22,1009.6,1010.4,23.7,21,85,0.8,320,3.1,280,T,1,N/A,0,N/A,0,N/A
2010-06-11-23,1009.3,1010.1,23.6,20.7,84,0.6,360,3,330,T,1,N/A,0,5,0,10
2010-06-11-24,1008.6,1009.4,22.9,20.3,85,1,70,2.5,100,0.1,1,N/A,0,N/A,0,N/A
2010-06-12-01,1007.7,1008.5,22.9,20.5,86,0.9,100,2.5,60,T,0.5,N/A,0,N/A,0,N/A
2010-06-12-02,1007.3,1008.1,22.9,20.8,88,1.2,110,2.3,100,0,0,N/A,0,4,0,10
2010-06-12-03,1007.6,1008.4,22.2,20.3,89,1.2,70,2.3,90,0,0,N/A,0,N/A,0,N/A
2010-06-12-04,1007.9,1008.7,21.7,20.3,92,2,60,4.2,40,2.5,0.9,N/A,0,N/A,0,N/A
2010-06-12-05,1008,1008.8,21.4,19.7,90,2.9,60,5.5,60,0.5,1,N/A,0,3,0,10
2010-06-12-06,1008.4,1009.2,21.2,19.6,91,2.4,60,6,80,0.5,1,0,0,N/A,0,N/A
2010-06-12-07,1008.8,1009.6,21.4,20,92,1.5,90,4.7,60,0.4,1,0,0,N/A,0,N/A
2010-06-12-08,1009.2,1010,21.7,20.6,93,0,0,3.2,60,1,1,0,0,3,0,10
2010-06-12-09,1009.4,1010.2,22.1,20.7,92,0,0,2.7,100,1,1,0,0.29,3,1,10
2010-06-12-10,1009.3,1010.1,22.8,21.6,93,0.6,70,1.6,20,1,1,0,0.3,N/A,1,10
2010-06-12-11,1009.2,1010,23,21.6,92,0.8,30,2,340,0.5,1,0,0.37,3,1,10
2010-06-12-12,1008.7,1009.5,23.2,22.1,94,0.9,60,2.3,70,0.2,1,0,0.6,N/A,2,10
2010-06-12-13,1008.1,1008.9,23.4,22,92,1.1,60,2.7,70,0.3,0.8,0,0.59,N/A,2,10
2010-06-12-14,1007.7,1008.5,23.3,21.9,92,1.2,70,2.6,340,1.2,0.8,0,0.11,6,1,10
2010-06-12-15,1007.7,1008.5,23.2,22,93,0.4,40,2.7,70,0.3,0.7,0,0.04,N/A,1,10
2010-06-12-16,1007,1007.8,23.4,22.2,93,1.6,100,2.4,120,1.5,1,0,0.08,N/A,1,10
2010-06-12-17,1006.8,1007.5,24.1,23,94,0.6,40,1.8,70,0.5,1,0,0.43,5,1,10
2010-06-12-18,1007.1,1007.8,24.1,22.6,91,0.1,0,1.6,100,T,0.3,0,0.3,N/A,0,N/A
2010-06-12-19,1007.5,1008.2,23.9,22.6,92,0.2,0,1.8,150,0,0,0,0,N/A,0,N/A
2010-06-12-20,1007.7,1008.4,23.9,22.8,94,0.2,0,1.7,160,0,0,N/A,0,5,0,10
2010-06-12-21,1008.1,1008.8,23.9,22.7,93,0.9,160,3.1,90,T,0.2,N/A,0,4,0,10
2010-06-12-22,1008.2,1009,23.6,22.5,94,1.1,110,2.5,160,T,0.3,N/A,0,N/A,0,N/A
2010-06-12-23,1008,1008.8,23.6,22.5,94,0.9,110,2.5,160,0,0,N/A,0,5,0,10
2010-06-12-24,1007.8,1008.6,23.5,22.4,94,1,150,3,160,0,0,N/A,0,N/A,0,N/A
2010-06-13-01,1007.4,1008.2,23.4,22.4,94,1.6,110,3,80,0.1,0.5,N/A,0,N/A,0,N/A
2010-06-13-02,1007.1,1007.9,23.4,22.4,94,0.7,90,2.2,60,0.2,1,N/A,0,4,0,10
2010-06-13-03,1006.8,1007.6,23.3,22.3,94,1.1,110,2.6,90,0.5,1,N/A,0,N/A,0,N/A
2010-06-13-04,1006.8,1007.6,23.3,22.5,95,0,0,1.7,100,T,1,N/A,0,N/A,0,N/A
2010-06-13-05,1006.8,1007.5,23.5,22.7,95,0.9,100,1.9,60,0.5,1,N/A,0,3,0,10
2010-06-13-06,1007.4,1008.1,23.6,22.7,95,0.2,0,2,120,0.5,1,0,0,N/A,0,N/A
2010-06-13-07,1007.8,1008.6,23.6,22.7,95,0.6,110,2,90,6,1,0,0,N/A,0,N/A
2010-06-13-08,1008.2,1009,23.7,22.9,95,1.3,90,2.3,130,1.5,1,0,0,3,0,10
2010-06-13-09,1008.3,1009,24.1,23.5,96,0.5,120,1.9,60,T,0.9,0,0.29,5,1,10
2010-06-13-10,1008.3,1009,24.6,23.8,95,0.3,90,2.1,60,0,0,0,0.47,N/A,2,10
2010-06-13-11,1007.8,1008.5,26.2,25.1,94,0.4,120,3.3,60,0,0,0.1,1.39,7,5,9
2010-06-13-12,1007.2,1007.9,26.4,24.1,87,0.3,100,2.4,60,0.5,0.5,0,0.76,N/A,3,10
2010-06-13-13,1007,1007.7,26.3,24.6,90,0.8,190,1.9,210,T,1,0,0.59,N/A,3,10
2010-06-13-14,1006.4,1007.1,25.9,24.7,93,0.5,120,3,270,4.5,1,0,0.16,3,1,10
2010-06-13-15,1006.5,1007.2,25.3,24.1,93,1.5,70,3.4,60,2.5,1,0,0.05,N/A,0,10
2010-06-13-16,1006,1006.7,25.2,24,93,1.1,80,4.9,30,5.5,1,0,0,N/A,0,10
2010-06-13-17,1005.8,1006.5,25.2,24.1,94,2,80,4.2,60,2.5,1,0,0,2.5,0,10
2010-06-13-18,1006.8,1007.5,24.8,23.9,95,1.1,10,5.5,60,12.5,1,0,0,N/A,0,N/A
2010-06-13-19,1006.9,1007.6,24.8,23.8,94,1.7,70,3,60,4,1,0,0,N/A,0,N/A
2010-06-13-20,1007.1,1007.8,24.6,23.6,94,1.6,80,3.3,50,2.5,0.9,N/A,0,8,0,9
2010-06-13-21,1007.6,1008.3,24.7,23.8,95,1.5,90,3.5,70,0,0,N/A,0,6,0,10
2010-06-13-22,1008,1008.7,24.9,24,95,0.3,V,3.2,60,T,0.8,N/A,0,N/A,0,N/A
2010-06-13-23,1007.7,1008.4,24.8,24.1,96,1.3,70,2.3,60,0.5,1,N/A,0,4,0,10
2010-06-13-24,1007.4,1008.1,24.7,23.9,95,1.2,150,2.6,70,T,1,N/A,0,N/A,0,N/A
2010-06-14-01,1006,1006.7,24.3,23.4,95,1.1,120,2.5,110,0.5,1,N/A,0,N/A,0,N/A
2010-06-14-02,1005.9,1006.6,24.1,23.2,95,0,0,2.7,80,T,0.8,N/A,0,6,0,10
2010-06-14-03,1006,1006.7,24,23.3,96,0,0,1.5,90,0,0,N/A,0,N/A,0,N/A
2010-06-14-04,1005.6,1006.3,24,23.3,96,1.4,120,2.5,160,0,0,N/A,0,N/A,0,N/A
2010-06-14-05,1006,1006.7,23.9,23.3,96,0.8,80,1.9,50,0.5,0.8,N/A,0,8,0,10
2010-06-14-06,1006.5,1007.2,24,23.4,96,0.6,170,2,170,0.5,1,0,0,N/A,0,N/A
2010-06-14-07,1006,1006.7,24.5,23.9,96,1.2,100,3.1,90,0.5,0.8,0,0.15,N/A,0,N/A
2010-06-14-08,1006.5,1007.2,25.4,25.3,99,0.2,0,2.9,110,0,0,0.1,0.87,10,2,10
2010-06-14-09,1007.4,1008.1,25.2,24,93,0.8,230,4,270,1,0.8,0,0.04,8,0,10
2010-06-14-10,1007.2,1007.9,24.8,23.6,93,0.7,160,2.4,70,6,1,0,0,N/A,0,10
2010-06-14-11,1007.1,1007.8,25,24,94,0.9,10,3.1,90,2.5,1,0,0,8,0,10
2010-06-14-12,1007.3,1008,25.2,24,93,0.8,10,3.1,360,3,1,0,0,N/A,1,10
2010-06-14-13,1007.2,1007.9,24.7,23.7,94,0,0,3.4,280,5,1,0,0,N/A,0,10
2010-06-14-14,1006.3,1007,25.2,24.2,94,1.3,30,3.6,20,3.5,1,0,0.02,7,0,10
2010-06-14-15,1005.5,1006.2,26,25.5,97,1.2,110,3.8,20,T,0.5,0.1,0.94,N/A,3,10
2010-06-14-16,1004.5,1005.2,26.8,25.2,91,1.2,110,2.4,120,0,0,0,0.72,N/A,2,10
2010-06-14-17,1004.5,1005.2,26.4,24.8,91,0.9,160,2.1,100,0,0,0,0.15,15,1,10
2010-06-14-18,1004.2,1004.9,26.6,24.9,90,0.2,0,2.8,80,0,0,0,0,N/A,0,N/A
2010-06-14-19,1004.8,1005.5,26.4,24.3,88,1.6,100,3.5,70,0,0,0,0,N/A,0,N/A
2010-06-14-20,1005.8,1006.5,26,24.6,92,0.9,120,2.2,100,0,0,N/A,0,10,0,9
2010-06-14-21,1006.2,1006.9,25.7,24.1,91,1.6,150,3.4,160,0,0,N/A,0,10,0,9
2010-06-14-22,1007.4,1008.1,25.7,23.7,89,1.2,120,3.2,140,0,0,N/A,0,N/A,0,N/A
2010-06-14-23,1007.1,1007.8,25.4,23.5,89,1.2,340,3.3,350,0,0,N/A,0,10,0,9
2010-06-14-24,1005.9,1006.6,25.1,23.3,90,1.6,120,3.4,340,0,0,N/A,0,N/A,0,N/A
2010-06-15-01,1005.3,1006,25,23.3,90,1.1,V,3.7,70,0,0,N/A,0,N/A,0,N/A
2010-06-15-02,1004.8,1005.5,24.7,23.1,91,1.3,80,3.2,120,0,0,N/A,0,10,0,7
2010-06-15-03,1004.8,1005.5,24.4,22.8,91,1.3,120,2.9,80,0,0,N/A,0,N/A,0,N/A
2010-06-15-04,1004.3,1005,23.9,22.5,92,1.2,140,2.3,140,0,0,N/A,0,N/A,0,N/A
2010-06-15-05,1004.8,1005.5,23.8,22.5,92,0.6,90,2.5,90,0,0,N/A,0,15,0,10
2010-06-15-06,1005.4,1006.1,24.1,22.2,89,0,0,4.1,150,0,0,0,0,N/A,0,N/A
2010-06-15-07,1006,1006.7,24.4,22.6,90,0.7,180,2.3,170,0,0,0,0,N/A,0,N/A
2010-06-15-08,1006.5,1007.2,24.4,22.2,88,0.2,0,3.1,160,0.5,0.8,0,0,15,0,9
2010-06-15-09,1006.3,1007,24.7,22.9,90,0.7,110,2.8,100,1,1,0,0.09,8,0,10
2010-06-15-10,1006.4,1007.1,24.7,23,90,0.3,130,2.9,70,0.5,1,0,0.46,N/A,2,10
2010-06-15-11,1006.6,1007.3,25.9,23.8,88,0.1,0,3.3,80,0.5,1,0,0.71,15,3,10
2010-06-15-12,1006.1,1006.8,26.3,24.1,88,0.6,110,3.9,80,T,1,0,0.6,N/A,3,10
2010-06-15-13,1005.7,1006.4,27,24.6,87,0.8,80,2.3,150,T,1,0,0.72,N/A,3,9
2010-06-15-14,1005.6,1006.3,26.9,24.2,85,1.7,120,3.4,80,T,1,0,0.6,15,2,10
2010-06-15-15,1006.3,1007,26.8,24.6,88,0,0,3,90,T,1,0,0.17,N/A,1,10
2010-06-15-16,1005.8,1006.5,26.8,24.1,85,2.2,160,3.2,160,T,1,0,0.08,N/A,1,10
2010-06-15-17,1006.1,1006.8,26.9,24.2,85,1.1,150,2.9,140,T,0.7,0,0,10,0,10
2010-06-15-18,1005.6,1006.3,26.9,24,84,1.1,160,2.7,150,T,0.5,0,0,N/A,0,N/A
2010-06-15-19,1005.1,1005.8,26.3,24,87,0.8,130,2.8,160,T,1,0,0,N/A,0,N/A
2010-06-15-20,1005.2,1005.9,25.5,23.7,90,0.9,160,3.8,160,0.5,0.3,N/A,0,12,0,8
2010-06-15-21,1006.2,1006.9,25.7,24,90,2,160,3.8,130,T,0.7,N/A,0,12,0,10
2010-06-15-22,1006.5,1007.2,25.6,23.6,89,1.9,90,5.2,80,T,0.7,N/A,0,N/A,0,N/A
2010-06-15-23,1006.8,1007.5,25.3,23.7,91,0.6,90,3,140,0,0,N/A,0,12,0,9
2010-06-15-24,1006.5,1007.2,25.3,23.5,90,0.6,120,3.2,150,0,0,N/A,0,N/A,0,N/A
2010-06-16-01,1006,1006.7,24.7,23.4,92,1.1,10,2.6,120,0,0,N/A,0,N/A,0,N/A
2010-06-16-02,1005.4,1006.1,24.8,22.7,88,1.8,140,3,160,0,0,N/A,0,12,0,8
2010-06-16-03,1005.4,1006.1,24.5,22.3,88,0.6,110,4,160,0,0,N/A,0,N/A,0,N/A
2010-06-16-04,1005.1,1005.8,24.6,22.7,89,1.1,140,2.5,120,0,0,N/A,0,N/A,0,N/A
2010-06-16-05,1005.3,1006,24.4,22.5,89,0.7,130,2.5,150,0,0,N/A,0,15,0,10
2010-06-16-06,1006.2,1006.9,24.8,22.7,88,0.6,150,2,140,0,0,0,0,N/A,0,N/A
2010-06-16-07,1006.6,1007.3,25.6,22.7,84,0.7,170,3.6,160,0,0,0,0.49,N/A,0,N/A
2010-06-16-08,1007,1007.7,25.5,22.7,85,0.3,100,3.4,170,0,0,0,0,18,1,9
2010-06-16-09,1007.3,1008,25.8,23.3,86,1.1,140,2.4,130,0.5,0.7,0,0.15,15,1,9
2010-06-16-10,1006.9,1007.6,26.3,24.1,88,0.1,0,1.6,130,T,0.7,0,0.53,N/A,2,9
2010-06-16-11,1007,1007.7,27.2,24.7,86,0,0,1.7,80,0,0,0,0.6,18,2,9
2010-06-16-12,1007.2,1007.9,27,24.5,86,0.4,180,1.7,140,0,0,0,0.48,N/A,2,9
2010-06-16-13,1007.1,1007.8,27.4,25.2,88,0.4,110,1.8,160,T,0.8,0,0.3,N/A,1,10
2010-06-16-14,1006.6,1007.3,30.4,26,77,0,0,1.9,150,T,0.2,0,1.17,15,5,9
2010-06-16-15,1006,1006.7,31.7,26.2,73,0.3,80,2.8,360,0,0,0.3,1.48,N/A,5,9
2010-06-16-16,1005.6,1006.3,30.3,25.3,75,0.2,0,2.5,10,0,0,0.2,1.16,N/A,3,10
2010-06-16-17,1005.9,1006.6,29.3,24.8,77,1,340,3.9,340,0,0,0,0,12,0,10
2010-06-16-18,1006.3,1007,28.9,24.9,79,1.2,20,3.1,340,0,0,0,0,N/A,0,N/A
2010-06-16-19,1006.7,1007.4,28.3,24.6,80,0.3,230,3.3,280,0,0,0,0,N/A,0,N/A
2010-06-16-20,1007.1,1007.8,28.5,24.8,80,2,100,3.3,90,0,0,N/A,0,10,0,10
2010-06-16-21,1007.3,1008,27.7,24.5,83,0.6,130,3,70,0,0,N/A,0,10,0,10
2010-06-16-22,1007.4,1008.1,27.4,24.2,83,1,140,2.6,160,0,0,N/A,0,N/A,0,N/A
2010-06-16-23,1007.4,1008.1,26.9,23.8,83,0.1,0,3.2,90,0,0,N/A,0,10,0,9
2010-06-16-24,1006.7,1007.4,26.8,23.4,82,2.1,150,4.2,150,0,0,N/A,0,N/A,0,N/A
2010-06-17-01,1006.5,1007.2,26.2,23,83,1.1,160,3.6,100,0,0,N/A,0,N/A,0,N/A
2010-06-17-02,1006.1,1006.8,25.6,22.9,85,0.1,0,3,150,0,0,N/A,0,10,0,7
2010-06-17-03,1006,1006.7,25.7,22.6,83,1,150,3.6,150,0,0,N/A,0,N/A,0,N/A
2010-06-17-04,1006.2,1006.9,25.4,22.8,86,0.5,140,2.9,150,0,0,N/A,0,N/A,0,N/A
2010-06-17-05,1006.4,1007.1,25.4,22.6,85,0.5,180,3,170,0,0,N/A,0,12,0,10
2010-06-17-06,1007.3,1008,25.4,22.2,82,0.8,130,3.5,150,T,0.1,0,0,N/A,0,N/A
2010-06-17-07,1008,1008.7,24.5,22.6,89,0.5,120,2.2,130,2,1,0,0,N/A,0,N/A
2010-06-17-08,1007.7,1008.4,24.6,22.9,90,1.6,120,3.3,80,1,1,0,0,12,0,10
2010-06-17-09,1007.8,1008.5,25.4,23.7,90,1.3,210,2.9,130,0.5,0.7,0,0.22,14,1,10
2010-06-17-10,1008,1008.7,27,24.4,86,1.1,130,3,150,0,0,0,0.91,N/A,4,9
2010-06-17-11,1007.8,1008.5,28.6,25.6,84,1.2,120,2.4,60,T,0.3,0,0.93,13,4,10
2010-06-17-12,1007,1007.7,29.9,25.9,79,0.7,100,2.3,100,T,0.5,0,1.28,N/A,5,10
2010-06-17-13,1006.6,1007.3,30.9,26.1,76,1,150,2,170,0,0,0,1.23,N/A,5,10
2010-06-17-14,1006,1006.7,30.9,25.8,74,0.8,120,2,170,0,0,0,1.04,14,4,10
2010-06-17-15,1005.9,1006.6,31.5,25.9,72,2.3,280,7.8,300,0,0,0,0.63,N/A,2,9
2010-06-17-16,1005.5,1006.2,31.3,25.8,73,2.6,250,7.3,280,0,0,0,0.6,N/A,2,10
2010-06-17-17,1005.5,1006.2,31.3,24.8,68,2.7,250,7.8,260,0,0,0.2,0.6,15,1,9
2010-06-17-18,1005.4,1006.1,30.3,24.6,72,1.6,230,6.6,270,0,0,0,0.14,N/A,0,N/A
2010-06-17-19,1005.7,1006.4,29.9,24.9,75,1.6,160,3.5,160,0,0,0,0,N/A,0,N/A
2010-06-17-20,1006,1006.7,29.1,25,79,0.2,0,2.9,120,0,0,N/A,0,12,0,9
2010-06-17-21,1006.7,1007.4,28.6,25.1,81,0.1,0,1.7,210,0,0,N/A,0,10,0,9
2010-06-17-22,1007.2,1007.9,28.8,24.8,79,0.9,140,2.9,350,0,0,N/A,0,N/A,0,N/A
2010-06-17-23,1007.2,1007.9,28.3,24.6,80,1.2,120,2.4,140,0,0,N/A,0,12,0,8
2010-06-17-24,1006.2,1006.9,27.6,24.3,82,1.1,150,3.3,130,0,0,N/A,0,N/A,0,N/A
2010-06-18-01,1005.6,1006.3,27.3,24.2,83,0.6,160,2.9,140,0,0,N/A,0,N/A,0,N/A
2010-06-18-02,1005.2,1005.9,27.1,24.2,84,1,180,3,150,0,0,N/A,0,12,0,6
2010-06-18-03,1005.3,1006,27.1,23.7,82,1.2,170,2.9,160,0,0,N/A,0,N/A,0,N/A
2010-06-18-04,1005.5,1006.2,26.5,23,81,1.3,110,2.3,70,0,0,N/A,0,N/A,0,N/A
2010-06-18-05,1005.3,1006,26.4,22.5,79,1.5,160,2.7,110,0,0,N/A,0,12,0,9
2010-06-18-06,1005.9,1006.6,26.3,22.2,78,0.9,120,3.3,150,0,0,0,0,N/A,0,N/A
2010-06-18-07,1006,1006.7,26.9,23,79,1.1,110,3.1,150,0,0,0.1,0.11,N/A,0,N/A
2010-06-18-08,1006.6,1007.3,29.3,23.9,73,1.5,130,3,140,0,0,0.6,1.17,16,2,6
2010-06-18-09,1006.7,1007.4,31.2,23.5,64,2.9,230,5.6,220,0,0,0.7,1.54,16,4,7
2010-06-18-10,1006.7,1007.4,32.7,23.9,60,5,270,10.4,270,0,0,0.6,1.72,N/A,6,8
2010-06-18-11,1006.3,1007,33.2,24,59,4.3,240,11.9,260,0,0,0.8,2.31,15,8,8
2010-06-18-12,1006.2,1006.9,32.8,24.4,61,2.8,270,12.4,210,0,0,0.2,1.65,N/A,6,10
2010-06-18-13,1005.9,1006.6,32.8,24,60,4.8,250,12.6,240,0,0,0,1.15,N/A,5,10
2010-06-18-14,1005.7,1006.4,33.1,25.4,64,3.5,280,9.5,270,0,0,0,1.38,15,5,9
2010-06-18-15,1005.8,1006.5,32.6,25.1,65,2.9,260,8.8,270,0,0,0.3,1.39,N/A,5,9
2010-06-18-16,1005.7,1006.4,32.2,24.5,64,1.1,290,10.7,270,0,0,0,0.6,N/A,2,10
2010-06-18-17,1005.5,1006.2,31.7,24.2,65,2,290,8.5,300,0,0,0,0.6,15,1,10
2010-06-18-18,1005.8,1006.5,30.8,23.7,66,1.4,270,7.9,290,0,0,0,0.03,N/A,0,N/A
2010-06-18-19,1006.3,1007,30.7,23,64,2.8,250,9.1,270,0,0,0,0,N/A,0,N/A
2010-06-18-20,1006.8,1007.5,30.3,23.1,65,1.3,230,6.9,210,0,0,N/A,0,12,0,9
2010-06-18-21,1007.1,1007.8,30,22.9,66,0.8,210,4.2,250,0,0,N/A,0,12,0,9
2010-06-18-22,1007,1007.7,29.1,24.3,75,0.8,160,3.8,110,0,0,N/A,0,N/A,0,N/A
2010-06-18-23,1007.1,1007.8,29.3,24.1,74,0.8,240,3.2,270,0,0,N/A,0,12,0,7
2010-06-18-24,1007.1,1007.8,28.4,24.1,78,0.8,160,3,260,0,0,N/A,0,N/A,0,N/A
2010-06-19-01,1006.8,1007.5,27.6,23.8,80,0.6,170,3.1,170,0,0,N/A,0,N/A,0,N/A
2010-06-19-02,1006.3,1007,27.2,23.1,78,0.6,120,2.9,80,0,0,N/A,0,12,0,8
2010-06-19-03,1006.5,1007.2,26.7,23.5,83,0.6,160,2.9,150,0,0,N/A,0,N/A,0,N/A
2010-06-19-04,1006.8,1007.5,26.4,23,82,1.1,130,3.2,140,0,0,N/A,0,N/A,0,N/A
2010-06-19-05,1007.3,1008,26,22.6,82,0.7,190,3.1,150,0,0,N/A,0,15,0,8
2010-06-19-06,1007.9,1008.6,26,22.4,81,2.2,160,4.2,140,0,0,0,0,N/A,0,N/A
2010-06-19-07,1008.3,1009,26.3,21.4,74,2.3,160,3.5,140,0,0,0.1,0.08,N/A,0,N/A
2010-06-19-08,1008.6,1009.3,27.5,22,72,1,210,3.1,140,0,0,0,0.6,12,1,8
2010-06-19-09,1008.8,1009.5,29.2,23.3,71,0.1,0,2.1,230,0,0,0.1,1.01,10,3,6
2010-06-19-10,1008.5,1009.2,31,23.7,65,0.9,110,2.9,160,0,0,0.7,2,N/A,6,7
2010-06-19-11,1008.2,1008.9,32.7,24.3,61,2,250,5.8,260,0,0,0.1,1.75,10,7,8
2010-06-19-12,1007.3,1008,33.2,24.2,59,2.2,220,7.4,310,0,0,0.5,2.28,N/A,8,8
2010-06-19-13,1006.5,1007.2,34.3,25.3,60,1.4,290,6.1,310,0,0,0.4,1.89,N/A,7,8
2010-06-19-14,1006,1006.7,33.7,25.7,63,1.4,280,6.8,300,0,0,0.3,1.38,10,5,9
2010-06-19-15,1006.1,1006.8,33.5,25.3,62,3.2,290,7.5,290,0,0,0.3,1.32,N/A,4,9
2010-06-19-16,1006.4,1007.1,33.1,24.9,62,2,270,7.9,290,0,0,0,0.9,N/A,2,9
2010-06-19-17,1006.4,1007.1,31.9,23.7,62,2.6,280,9.2,270,0,0,0,0.34,16,1,10
2010-06-19-18,1006.4,1007.1,31.7,23.2,61,2.1,260,7.4,280,0,0,0,0,N/A,0,N/A
2010-06-19-19,1006.4,1007.1,31.2,23.1,62,1.3,240,6.1,260,0,0,0,0,N/A,0,N/A
2010-06-19-20,1006.4,1007.1,30.3,23.2,66,0.6,220,3,250,0,0,N/A,0,18,0,3
2010-06-19-21,1006.9,1007.6,29.6,23.6,70,0.3,150,2.1,250,0,0,N/A,0,18,0,3
2010-06-19-22,1007.3,1008,28.9,24.2,76,1.9,170,3.2,160,0,0,N/A,0,N/A,0,N/A
2010-06-19-23,1006.9,1007.6,28.6,24.4,78,1,150,3.3,170,0,0,N/A,0,15,0,1
2010-06-19-24,1006.4,1007.1,28.1,24.3,80,0.4,190,2.9,150,0,0,N/A,0,N/A,0,N/A
2010-06-20-01,1005.6,1006.3,27.8,24.1,80,1.4,160,2.5,110,0,0,N/A,0,N/A,0,N/A
2010-06-20-02,1005.5,1006.2,27.3,23.9,82,1,150,3.2,160,0,0,N/A,0,13,0,3
2010-06-20-03,1005.6,1006.3,27.1,23.5,81,2,160,3.6,160,0,0,N/A,0,N/A,0,N/A
2010-06-20-04,1005.7,1006.4,26.7,23.2,81,1.8,160,4,160,0,0,N/A,0,N/A,0,N/A
2010-06-20-05,1006,1006.7,26.7,22.9,80,1.6,150,3.4,170,0,0,N/A,0,12,0,7
2010-06-20-06,1006.2,1006.9,26.8,23.6,83,1.1,170,3.2,160,0,0,0,0.01,N/A,0,N/A
2010-06-20-07,1006.6,1007.3,27.3,23.5,80,1.6,140,4,150,0,0,0,0.6,N/A,0,N/A
2010-06-20-08,1007.3,1008,29.7,24.8,75,0.4,V,2.2,250,0,0,0.6,1.18,12,2,9
2010-06-20-09,1007.6,1008.3,30.9,24,67,1.8,250,4.2,260,0,0,1,1.33,13,3,9
2010-06-20-10,1007.2,1007.9,32.1,24,62,1.6,240,5.8,230,0,0,1,2.11,N/A,6,9
2010-06-20-11,1007.2,1007.9,32.8,24.2,61,1.3,250,5.3,210,0,0,0.9,2.18,15,7,9
2010-06-20-12,1006.6,1007.3,33.8,24.2,57,2.9,240,6.8,200,0,0,0.4,1.6,N/A,6,10
2010-06-20-13,1006.4,1007.1,33.1,24.8,62,2.9,270,9,270,0,0,0.1,1.27,N/A,5,10
2010-06-20-14,1006.3,1007,32.8,24.5,62,4.5,260,9.2,280,0,0,0.2,1.45,16,5,10
2010-06-20-15,1005.9,1006.6,32.5,24.6,63,2.2,270,8.6,240,0,0,0.1,0.86,N/A,3,10
2010-06-20-16,1005.9,1006.6,32,23.8,62,3.8,270,8.7,250,0,0,0,0.6,N/A,2,10
2010-06-20-17,1006.1,1006.8,31.9,23.1,60,2.7,260,9.2,270,0,0,0,0.6,15,1,10
2010-06-20-18,1006.3,1007,31.6,23,60,0.9,230,6.2,260,0,0,0,0.25,N/A,0,N/A
2010-06-20-19,1006.7,1007.4,31.1,23.3,63,0.5,250,2.8,270,0,0,0,0,N/A,0,N/A
2010-06-20-20,1007,1007.7,30.4,23.9,68,0.9,120,2.5,190,0,0,N/A,0,12,0,8
2010-06-20-21,1007.2,1007.9,30,23.9,70,1.7,150,4.1,170,0,0,N/A,0,12,0,9
